game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_02_CAR_ARI,2025,2,REG,2025-09-14,ARI,CAR,0,ARI -7.0,ARI -5.3,7.0,5.295664310455322,-1.7043356895446777,True,-310.0,250.0,0.725752508361204,0.7105371007893014,-0.01521540757190254,0.0,45.5,27.0,22.0,5.0,home,0,70.0,0.0,7,7
2025_02_CLE_BAL,2025,2,REG,2025-09-14,BAL,CLE,1,BAL -12.5,BAL -8.2,12.5,8.231177806854248,-4.268822193145752,False,-900.0,600.0,0.863013698630137,0.8101744934953574,-0.05283920513477958,0.0,46.5,41.0,17.0,24.0,home,1,82.0,3.0,7,7
2025_02_JAX_CIN,2025,2,REG,2025-09-14,CIN,JAX,0,CIN -3.5,CIN -5.3,3.5,5.3116291761398315,1.8116291761398315,True,-192.0,160.0,0.6309403437815976,0.7111554427859219,0.08021509900432433,1.0,49.5,31.0,27.0,4.0,home,1,85.0,3.0,7,7
2025_02_NYG_DAL,2025,2,REG,2025-09-14,DAL,NYG,1,DAL -4.5,DAL -3.5,4.5,3.507402181625366,-0.9925978183746338,True,-238.0,195.0,0.6750312469954812,0.6366896174314658,-0.038341629564015434,0.0,44.5,40.0,37.0,3.0,home,0,70.0,0.0,10,7
2025_02_CHI_DET,2025,2,REG,2025-09-14,DET,CHI,1,DET -6.0,DET -7.0,6.0,6.997532963752747,0.9975329637527466,True,-270.0,220.0,0.7001620745542949,0.7718318458524147,0.0716697712981198,1.0,46.5,52.0,21.0,31.0,home,0,70.0,0.0,7,6
2025_02_DEN_IND,2025,2,REG,2025-09-14,IND,DEN,0,DEN -2.5,DEN -0.0,-2.5,-0.003178834915161133,2.496821165084839,True,110.0,-130.0,0.4572564612326044,0.4748991615424728,0.01764270030986842,1.0,43.5,29.0,28.0,1.0,home,0,70.0,0.0,7,7
2025_02_PHI_KC,2025,2,REG,2025-09-14,KC,PHI,0,PHI -1.5,PHI -2.7,-1.5,-2.658987283706665,-1.158987283706665,True,102.0,-122.0,0.4739134147382802,0.3541304362947646,-0.1197829784435156,1.0,46.5,17.0,20.0,-3.0,away,1,88.0,12.0,9,10
2025_02_NE_MIA,2025,2,REG,2025-09-14,MIA,NE,1,MIA -1.5,MIA -2.2,1.5,2.176326632499695,0.6763266324996948,False,-125.0,105.0,0.5324675324675325,0.5769352890243139,0.04446775655678137,0.0,43.5,27.0,33.0,-6.0,away,1,89.0,4.0,7,7
2025_02_ATL_MIN,2025,2,REG,2025-09-14,MIN,ATL,0,MIN -3.5,MIN -2.9,3.5,2.922694742679596,-0.577305257320404,True,-180.0,150.0,0.6164383561643836,0.6108403687026717,-0.005597987461711917,1.0,44.5,6.0,22.0,-16.0,away,0,70.0,0.0,6,7
2025_02_SF_NO,2025,2,REG,2025-09-14,NO,SF,0,SF -3.0,SF -5.5,-3.0,-5.487638711929321,-2.4876387119293213,True,140.0,-166.0,0.4003612281757977,0.24343358360909875,-0.15692764456669897,1.0,40.5,21.0,26.0,-5.0,away,0,70.0,0.0,7,7
